,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
208,КСУ БЕН-4,96.5,2023-01-21 10:00:00
209,КСУ БЕН-5,105.4,2023-01-21 17:00:00
211,АСН 1-6,45.4,2023-01-21 22:00:00
213,КСУ СУТ,49.5,2023-01-21 23:00:00
214,АСН-2,65.6,2023-01-22 02:30:00
215,КСУ БЕН-3,77.1,2023-01-22 04:00:00
216,БМ,4632.2,2023-01-22 06:00:00
217,АСН-3,63.1,2023-01-22 08:05:00
218,КСУ БЕН-4,101.2,2023-01-22 10:00:00
219,КСУ БЕН-7,96.5,2023-01-22 16:00:00
221,АСН-1-6,62.4,2023-01-22 22:00:00
223,КСУ СУТ,44.5,2023-01-22 23:00:00
224,АСН-2,31.3,2023-01-23 00:30:00
225,КСУ БЕН-9,69.4,2023-01-23 04:00:00
226,БМ,4478.7,2023-01-23 06:00:00
227,АСН-1,33.3,2023-01-23 08:10:00
228,КСУ БЕН-3,74,2023-01-23 10:00:00
229,КСУ БЕН-5,232.6,2023-01-23 16:00:00
231,КСУ БЕН-7,110.1,2023-01-23 22:00:00
233,КСУ СУТ,42.6,2023-01-23 23:00:00
234,КСУ БЕН-1,129,2023-01-24 04:00:00
235,БМ,5350.1,2023-01-24 06:00:00
236,КСУ БЕН-4,107.1,2023-01-24 10:00:00
237,КСУ БЕН-3,169.1,2023-01-24 14:00:00
238,АСН-2,42.3,2023-01-24 14:10:00
240,КСУ БЕН-2,102.8,2023-01-24 22:00:00
242,КСУ СУТ,71.2,2023-01-24 23:00:00
243,КСУ БЕН-7,102.3,2023-01-25 04:00:00
244,БМ,3371.8,2023-01-25 06:00:00
245,АСН-3,28.9,2023-01-25 08:20:00
246,КСУ БЕН-3,91.6,2023-01-25 10:00:00
247,КСУ БЕН-6,102.3,2023-01-25 16:00:00
249,АСН 1-6,30,2023-01-25 22:00:00
251,КСУ СУТ,33.8,2023-01-25 23:00:00
252,КСУ-БЕН-1,163.7,2023-01-26 04:00:00
253,АСН-2,69.3,2023-01-26 04:20:00
254,БМ,4497.1,2023-01-26 06:00:00
255,АСН-2,43.7,2023-01-26 08:10:00
256,КСУ БЕН-5,119.9,2023-01-26 10:00:00
257,КСУ БЕН-7,123.7,2023-01-26 16:00:00
259,КСУ БЕН-1,103,2023-01-26 22:00:00
261,КСУ СУТ,283.5,2023-01-26 23:00:00
262,КСУ БЕН-5,108.7,2023-01-27 04:00:00
263,БМ,5004.4,2023-01-27 06:00:00
264,АСН-2,111.7,2023-01-27 07:15:00
265,АСН-2,57.1,2023-01-27 08:10:00
266,КСУ БЕН-8,104.6,2023-01-27 10:00:00
267,КСУ БЕН-2,121.4,2023-01-27 16:00:00
269,КСУ БЕН-5,172.6,2023-01-27 22:00:00
271,КСУ СУТ,36,2023-01-27 23:00:00
272,АСН-2,35.9,2023-01-28 00:20:00
273,КСУ БЕН- 1,117.5,2023-01-28 04:00:00
274,БМ,5248.5,2023-01-28 06:00:00
275,АСН-2,24.9,2023-01-28 08:10:00
276,КСУ БЕН-4,117.2,2023-01-28 10:00:00
277,КСУ БЕН- 7,149.4,2023-01-28 16:00:00
279,КСУ БЕН-1,154.7,2023-01-28 22:00:00
281,КСУ СУТ,36,2023-01-28 23:00:00
292,АСН -3,59.9,2023-01-29 00:10:00
293,КСУ БЕН-5,146.1,2023-01-29 04:00:00
294,БМ,3923.3,2023-01-29 06:00:00
295,АСН-2,34.4,2023-01-29 08:10:00
296,КСУ БЕН-9,115,2023-01-29 10:00:00
297,КСУ БЕН-3,124.3,2023-01-29 16:00:00
299,КСУ БЕН-6,106.3,2023-01-29 22:00:00
301,КСУ СУТ,43.3,2023-01-29 23:00:00
302,КСУ БЕН-1,109.4,2023-01-30 04:00:00
303,БМ,4167.7,2023-01-30 06:00:00
304,АСН-2,30.5,2023-01-30 08:10:00
305,КСУ-БЕН-4,107.5,2023-01-30 10:00:00
