,Дата,Место сбора,"Сод. Cl соед., мг/дм3"
95,2024-04-11 10:30:00,АСН-6,84.9
96,2024-04-11 13:00:00,АСН-6,47.2
97,2024-04-11 16:00:00,ЭДГ-1/3,69.5
98,2024-04-11 18:40:00,АСН-6,34.7
99,2024-04-11 22:00:00,ЭДГ-1/3,35.9
100,2024-04-12 01:00:00,АСН-6,32.4
101,2024-04-12 04:00:00,ЭДГ-1/3,35.9
102,2024-04-12 08:00:00,АСН-6,40.1
103,2024-04-12 12:00:00,АСН-6,36.6
104,2024-04-12 16:00:00,ЭДГ-1/3,69.4
105,2024-04-12 21:40:00,АСН-6,34.2
106,2024-04-12 22:00:00,ЭДГ-1/3,55.6
107,2024-04-13 02:30:00,АСН-6,24.3
108,2024-04-13 04:00:00,ЭДГ-1/3,40.5
109,2024-04-13 10:00:00,ЭДГ-1/3,34.7
110,2024-04-13 11:00:00,АСН-6,30.1
111,2024-04-13 16:00:00,ЭДГ-1/3,50.9
112,2024-04-13 20:00:00,АСН-6,0.06
113,2024-04-13 22:00:00,ЭДГ-1/3,56.7
114,2024-04-14 04:00:00,АСН-6,31.3
115,2024-04-14 04:00:00,ЭДГ-1/3,48.6
116,2024-04-14 09:00:00,АСН-6,41.6
117,2024-04-14 10:00:00,ЭДГ-1/3,55.6
118,2024-04-14 16:00:00,ЭДГ-1/3,35.2
119,2024-04-14 19:00:00,АСН-6,22
120,2024-04-14 22:00:00,ЭДГ-1/3,73
121,2024-04-15 04:00:00,ЭДГ-1/3,40.5
122,2024-04-15 05:00:00,АСН-6,63.7
123,2024-04-15 10:00:00,ЭДГ-1/3,46.3
124,2024-04-15 12:40:00,АСН-6,39.6
125,2024-04-15 16:00:00,ЭДГ-1/3,48.6
126,2024-04-15 19:20:00,АСН-6,46.3
127,2024-04-15 22:00:00,ЭДГ-1/3,61.4
128,2024-04-16 04:00:00,ЭДГ-1/3,56.7
129,2024-04-16 04:30:00,АСН-6,49.8
130,2024-04-16 10:00:00,ЭДГ-1/3,34.7
131,2024-04-16 14:00:00,АСН-6,32.4
132,2024-04-16 16:00:00,ЭДГ-1/3,64.8
133,2024-04-16 19:00:00,АСН-6,35.9
134,2024-04-16 22:00:00,ЭДГ-1/3,98.4
135,2024-04-17 04:00:00,ЭДГ-1/3,36.5
136,2024-04-17 04:20:00,АСН-6,23.2
137,2024-04-17 10:00:00,ЭДГ-1/3,37
138,2024-04-17 11:00:00,АСН-6,34.7
139,2024-04-17 16:00:00,ЭДГ-1/3,86.8
140,2024-04-17 20:00:00,АСН-6,28.9
141,2024-04-17 22:00:00,ЭДГ-1/3,54.4
142,2024-04-18 04:00:00,ЭДГ-1/3,45.2
143,2024-04-18 04:20:00,АСН-6,35.9
144,2024-04-18 10:00:00,ЭДГ-1/3,37.6
145,2024-04-18 14:00:00,АСН-6,52.1
146,2024-04-18 16:00:00,ЭДГ-1/3,72.4
147,2024-04-18 18:00:00,АСН-6,42.8
148,2024-04-18 22:00:00,ЭДГ-1/3,56.7
149,2024-04-19 04:00:00,ЭДГ-1/3,35.9
150,2024-04-19 05:00:00,АСН-6,24.3
151,2024-04-19 10:00:00,ЭДГ-1/3,52.1
152,2024-04-19 14:00:00,АСН-6,34.7
153,2024-04-19 16:00:00,ЭДГ-1/3,48.2
154,2024-04-19 22:00:00,ЭДГ-1/3,52.7
155,2024-04-20 00:00:00,АСН-6,44
156,2024-04-20 04:00:00,ЭДГ-1/3,42.8
157,2024-04-20 04:15:00,АСН-6,48.6
158,2024-04-20 10:00:00,ЭДГ-1/3,40.2
159,2024-04-20 14:00:00,АСН-6,34.7
160,2024-04-20 16:00:00,ЭДГ-1/3,80.4
161,2024-04-20 18:00:00,АСН-6,25.3
162,2024-04-20 22:00:00,ЭДГ-1/3,48.2
163,2024-04-21 04:00:00,ЭДГ-1/3,33.3
164,2024-04-21 04:30:00,АСН-6,24.7
165,2024-04-21 10:00:00,ЭДГ-1/3,68.9
166,2024-04-21 14:00:00,АСН-6,34.5
167,2024-04-21 16:00:00,ЭДГ-1/3,40.2
168,2024-04-21 19:30:00,АСН-6,37.9
169,2024-04-21 22:00:00,ЭДГ-1/3,40.2
170,2024-04-21 23:30:00,АСН-6,37.9
171,2024-04-22 04:00:00,ЭДГ-1/3,30.4
